disease,clean_description,recommended_pesticide
Spider_mites_Two_spotted_spider_mite,severe leaf appear stippled pale spot rapid webbing may visible leaf stem notable infested leaf drop prematurely,Sulfur spray
Septoria_leaf_spot,severe severe infection reduce fruit yield moderate spot remain le ⅛ inch diameter notable tiny dark speck appear pale center,Neem oil
healthy,notable stem firm unblemished visible plant show sign stress pest rapid tuber development appears uniform healthy,No pesticide needed
healthy,according grower sporadic fruit develop bright color firm wall moderate surface remain free lesion mold,No pesticide needed
healthy,notable spot discoloration leaf severe flower appear healthy plentiful visible plant appear free pest disease,No pesticide needed
Late_blight,farmer report sudden leaf collapse suddenly without warning visible fruit rot occurs quickly infection clear whole plant may wilt overnight,Neem oil
Early_blight,inspection reveals notable small dark spot develop concentric ring severe older leaf first show symptom,Neem oil
Tomato_mosaic_virus,visible flower formation may reduced severe fruit develop uneven ripening,Biological predators
Leaf_Mold,according grower sudden plant growth slows noticeably,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report sporadic growth becomes stunted bushy notable leaf appear crumpled thickened sporadic young leaf curl upward turn yellow,Horticultural oil
Early_blight,slight older leaf first show symptom severe affected plant exhibit reduced tuber size slight severe case cause significant leaf loss,Neem oil
Bacterial_spot,according grower notable lesion become raised scabby fruit rapid leaf edge become ragged torn notable lower leaf drop early stress,Sulfur spray
healthy,agronomist note clear sign curling wilting,No pesticide needed
Bacterial_spot,according grower visible leaf develop yellow halo around spot visible lesion become angular watersoaked clear warm wet weather increase disease spread,Biological predators
Tomato_YellowLeaf_Curl_Virus,farmer report sudden internode shorten dramatically,Horticultural oil
Late_blight,inspection reveals clear fruit develop firm dark lesion greasy texture severe fruit rot occurs quickly infection extensive cool moist weather promotes rapid spread,Neem oil
Late_blight,sudden leaf collapse suddenly without warning clear fruit develop firm dark lesion greasy texture,Neem oil
Spider_mites_Two_spotted_spider_mite,sporadic plant vigor decline noticeably,Sulfur spray
Septoria_leaf_spot,farmer complains clear spot remain le ⅛ inch diameter moderate tiny dark speck appear pale center,Neem oil
healthy,farmer complains sporadic plant stand tall vigorous severe overall growth steady balanced,No pesticide needed
Bacterial_spot,visual check indicates visible tiny dark speck appear young leaf,Sulfur spray
Late_blight,agronomist note extensive leaf collapse suddenly without warning notable large irregular brown patch appear leaf,Neem oil
Bacterial_spot,agronomist note sporadic spot sometimes merge larger dead area sporadic tiny dark spot appear young leaf clear bacterial ooze may visible moist condition,Biological predators
Bacterial_spot,agronomist note clear infected fruit appears pitted rough visible spot enlarge develop yellow halo,Sulfur spray
Late_blight,according grower slight edge lesion look watersoaked slight large irregular brown patch appear leaf,Neem oil
Late_blight,visual check indicates sporadic new leaf become infected almost overnight visible whole field appear scorched dead,Sulfur spray
Tomato_mosaic_virus,according grower sudden overall plant vigor decrease notable growth appears stunted twisted extensive symptom worsen high light condition,Biological predators
Bacterial_spot,farmer report clear leaf edge turn brown crack rapid lesion become angular watersoaked notable tiny dark spot appear young leaf,Biological predators
Tomato_YellowLeaf_Curl_Virus,extensive internode shorten dramatically extensive leaf appear crumpled thickened slight growth becomes stunted bushy,Horticultural oil
Spider_mites_Two_spotted_spider_mite,visual check indicates slight mite thrive hot dry condition,Sulfur spray
Early_blight,agronomist note slight stem may show sunken brown streak sudden fruit develop sunken leathery patch moderate spot expand warm humid weather,Horticultural oil
Spider_mites_Two_spotted_spider_mite,severe leaf appear stippled pale spot visible leaf surface feel dry rough clear fine yellow dust may visible foliage,Sulfur spray
Tomato_mosaic_virus,visual check indicates visible flower formation may reduced moderate leaf may appear leathery clear fruit show irregular color pattern,Biological predators
healthy,farmer report clear fruit cluster wellformed,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,agronomist note moderate internode shorten dramatically notable virus spread via whitefly rapidly notable fruit production decrease sharply,Horticultural oil
Tomato_mosaic_virus,inspection reveals rapid leaf display mottled light dark green patch severe fruit develop uneven ripening,Biological predators
Tomato_mosaic_virus,visible virus spread easily plant contact rapid leaflet may become fernlike narrow,Biological predators
Spider_mites_Two_spotted_spider_mite,visual check indicates extensive leaf surface feel dry rough,Sulfur spray
Bacterial_spot,visual check indicates visible bacterial ooze may visible moist condition,Biological predators
Bacterial_spot,farmer complains notable leaf develop yellow halo around spot visible lower leaf drop prematurely,Biological predators
healthy,moderate fruit develop bright color firm wall,No pesticide needed
Bacterial_spot,field observation show rapid lesion become angular watersoaked sporadic infected fruit show raised scabby lesion rapid leaf develop yellow halo around spot,Biological predators
healthy,farmer complains sporadic sign curling wilting,No pesticide needed
Early_blight,inspection reveals visible small dark spot develop concentric ring notable severe case cause significant leaf loss,Neem oil
Bacterial_spot,inspection reveals sudden lower leaf drop prematurely,Biological predators
healthy,visual check indicates notable plant appear free pest disease,No pesticide needed
healthy,farmer report visible flower appear healthy plentiful notable sign curling wilting extensive stem remain firm robust,No pesticide needed
healthy,agronomist note rapid plant show sign stress pest,No pesticide needed
Bacterial_spot,farmer report notable new growth appears stunted distorted extensive leaf develop yellow halo around spot,Biological predators
healthy,farmer report severe plant appear free pest disease clear plant stand tall vigorous,No pesticide needed
Tomato_mosaic_virus,sudden growth appears stunted twisted,Biological predators
Bacterial_spot,farmer complains sudden new growth appears stunted distorted extensive bacterial ooze may visible moist condition sudden tiny dark spot appear young leaf,Biological predators
healthy,inspection reveals sudden plant maintain strong upright growth severe sign wilting discoloration notable stem firm unblemished,No pesticide needed
Late_blight,according grower notable blight odor noticeable severe infection sporadic leaf become limp collapse suddenly,Sulfur spray
healthy,visual check indicates slight sign wilting discoloration,No pesticide needed
Leaf_Mold,according grower extensive disease thrives high humidity poor airflow sporadic underside develop fuzzy white olive mold,Sulfur spray
Bacterial_spot,agronomist note sporadic infected fruit appears pitted rough,Sulfur spray
Septoria_leaf_spot,farmer complains visible stem remain largely unaffected sporadic growth appears patchy across field sporadic severe infection reduce fruit yield,Neem oil
Spider_mites_Two_spotted_spider_mite,visual check indicates rapid leaf turn bronze curl slight webbing may visible leaf stem,Sulfur spray
Late_blight,visual check indicates clear fruit rot occurs quickly infection extensive leaf collapse suddenly without warning rapid infected area emit musty odor,Neem oil
Late_blight,farmer report sudden fruit rot occurs quickly infection severe white mold may appear leaf underside moderate edge lesion look watersoaked,Neem oil
Early_blight,farmer complains sporadic older leaf first show symptom visible lesion enlarge warm humid weather,Neem oil
Leaf_Mold,according grower sporadic plant growth slows noticeably,Sulfur spray
healthy,farmer report slight fruit develop bright color firm wall,No pesticide needed
Late_blight,farmer report sudden leaf collapse suddenly without warning extensive fruit develop firm dark lesion greasy texture visible stem turn brown brittle,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer report notable young leaf curl upward turn yellow clear growth becomes stunted bushy,Horticultural oil
